Combination: ('년도 및 분기',)
년도 및 분기,count
2014년 상반기,서울4년,5
2013년 하반기,지방4년,5
2015년 하반기,대학원,5
2015년 하반기,고졸,5
2018년 하반기,해외대학,5

Combination: ('년도 및 분기', '과')
년도 및 분기,과,count
2016년 상반기,0,75
2015년 하반기,컴퓨터공학,56
2018년 상반기,경영학과,46
2015년 하반기,컴퓨터공학과,38
2015년 하반기,컴퓨터공학부,35
2015년 하반기,기계공학과,35
2015년 상반기,경영학과,33
2016년 하반기,경영학과,32
2017년 하반기,전자공학,32
2020년 상반기,행정학과,29
2015년 하반기,경제학과,29
2023년 상반기,경영학과,29
2015년 하반기,컴퓨터학부,27
2020년 하반기,경영학부,26
2016년 하반기,0,24
2023년 상반기,공공인재학부,23
2017년 하반기,0,23
2017년 하반기,경영학,23
2016년 상반기,컴퓨터공학부,23
2018년 하반기,0,22
2015년 상반기,기계공학과,22
2016년 상반기,경영학과,22
2022년 하반기,경제학과,22
2017년 하반기,경영학과,21
2016년 상반기,경제학과,21
2016년 하반기,국제통상학과,20
2019년 하반기,영어영문학,20
2016년 하반기,경영,20
2019년 하반기,전기전자,20
2016년 하반기,기계설계공학과,19
2017년 상반기,경영학과,19
2017년 하반기,국어국문,19
2021년 하반기,기계공학과,19
2016년 상반기,컴퓨터학부,18
2021년 하반기,0,18
2015년 하반기,경영학과,18
2017년 상반기,회계세무학과,18
2018년 하반기,법,18
2016년 상반기,경영학부,18
2017년 상반기,법,18
2018년 하반기,행정학과,18
2017년 상반기,경제,17
2022년 상반기,사회계열,17
2016년 하반기,소프트웨어공학과,16
2017년 하반기,국제물류학과,16
2015년 상반기,컴퓨터공학과,16
2015년 하반기,화학공학,15
2016년 하반기,정보통신전자공,15
2021년 상반기,경영학과,15
2016년 하반기,컴퓨터공학과,14
2019년 하반기,독어독문학과,14
2016년 하반기,경제학과,14
2019년 상반기,경영학부,14
2015년 하반기,기계공학부,14
2022년 하반기,경영학과,14
2022년 상반기,중국어교육전공,14
2015년 하반기,경제금융,14
2016년 하반기,전자공학과,14
2019년 하반기,0,13
2015년 하반기,전자공학과,13
2018년 상반기,0,13
2021년 하반기,경영학과,13
2016년 상반기,기계공학,13
2018년 상반기,컴퓨터공학과,13
2016년 상반기,중국언어문화학,13
2016년 상반기,전자공학과,13
2018년 하반기,정보통신공학과,13
2022년 상반기,국제의료경영학과,13
2017년 하반기,산업시스템공학과,13
2023년 상반기,경영대학 경영학과,12
2017년 상반기,전자컴퓨터통신공,12
2018년 하반기,무역학과,12
2016년 상반기,컴퓨터공학,12
2020년 하반기,0,12
2022년 하반기,기계공학과,12
2015년 하반기,화학공학과,12
